2021-06-21 05:12:41,336 p=2295 u=root n=ansible | web01                      : ok=3    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2021-06-21 05:40:48,098 p=3663 u=root n=ansible | PLAY [Generate artifact, copy artifact & sql file to files directory] *********************************************************************************************
2021-06-21 05:40:48,111 p=3663 u=root n=ansible | TASK [Gathering Facts] ********************************************************************************************************************************************
2021-06-21 05:40:49,198 p=3663 u=root n=ansible | ok: [localhost]
2021-06-21 05:40:49,213 p=3663 u=root n=ansible | TASK [Install  jdk, maven, git] ***********************************************************************************************************************************
2021-06-21 05:40:55,297 p=3663 u=root n=ansible | ok: [localhost] => (item=git)
2021-06-21 05:40:57,081 p=3663 u=root n=ansible | ok: [localhost] => (item=openjdk-8-jdk)
2021-06-21 05:40:58,775 p=3663 u=root n=ansible | ok: [localhost] => (item=maven)
2021-06-21 05:40:58,786 p=3663 u=root n=ansible | TASK [Clone source code from github] ******************************************************************************************************************************
2021-06-21 05:40:59,528 p=3663 u=root n=ansible | ok: [localhost]
2021-06-21 05:40:59,538 p=3663 u=root n=ansible | TASK [mvn install command to build artifact] **********************************************************************************************************************
2021-06-21 05:40:59,554 p=3663 u=root n=ansible | skipping: [localhost]
2021-06-21 05:40:59,563 p=3663 u=root n=ansible | TASK [Copy artifacts to files directory] **************************************************************************************************************************
2021-06-21 05:41:00,509 p=3663 u=root n=ansible | ok: [localhost] => (item=/root/scripts/ansible-aws-vpc/provision-stack/Vprofile-repo/target/vprofile-v2.war)
2021-06-21 05:41:00,519 p=3663 u=root n=ansible | TASK [Copy SQL file to files directory] ***************************************************************************************************************************
2021-06-21 05:41:00,948 p=3663 u=root n=ansible | ok: [localhost]
2021-06-21 05:41:00,965 p=3663 u=root n=ansible | PLAY [Set host to ip mapping in /etc/hosts file of all the instances in the stack] ********************************************************************************
2021-06-21 05:41:00,970 p=3663 u=root n=ansible | TASK [Gathering Facts] ********************************************************************************************************************************************
2021-06-21 05:41:05,091 p=3663 u=root n=ansible | ok: [web01]
2021-06-21 05:41:05,105 p=3663 u=root n=ansible | ok: [app01]
2021-06-21 05:41:05,109 p=3663 u=root n=ansible | ok: [mc01]
2021-06-21 05:41:05,113 p=3663 u=root n=ansible | ok: [rmq01]
2021-06-21 05:41:05,125 p=3663 u=root n=ansible | fatal: [cntl]: UNREACHABLE! => {"changed": false, "msg": "Failed to connect to the host via ssh: ssh: Could not resolve hostname cntl: Temporary failure in name resolution", "unreachable": true}
2021-06-21 05:41:06,696 p=3663 u=root n=ansible | ok: [db01]
2021-06-21 05:41:06,710 p=3663 u=root n=ansible | TASK [Import VPC setup Variable] **********************************************************************************************************************************
2021-06-21 05:41:06,761 p=3663 u=root n=ansible | ok: [web01]
2021-06-21 05:41:06,779 p=3663 u=root n=ansible | ok: [app01]
2021-06-21 05:41:06,804 p=3663 u=root n=ansible | ok: [rmq01]
2021-06-21 05:41:06,805 p=3663 u=root n=ansible | ok: [mc01]
2021-06-21 05:41:06,815 p=3663 u=root n=ansible | ok: [db01]
2021-06-21 05:41:06,824 p=3663 u=root n=ansible | TASK [Update hosts file for all the hosts] ************************************************************************************************************************
2021-06-21 05:41:07,439 p=3663 u=root n=ansible | ok: [db01]
2021-06-21 05:41:07,929 p=3663 u=root n=ansible | ok: [mc01]
2021-06-21 05:41:08,027 p=3663 u=root n=ansible | ok: [web01]
2021-06-21 05:41:08,029 p=3663 u=root n=ansible | ok: [app01]
2021-06-21 05:41:08,034 p=3663 u=root n=ansible | ok: [rmq01]
2021-06-21 05:41:08,050 p=3663 u=root n=ansible | PLAY [Setup Mysql with accounts db and remote login] **************************************************************************************************************
2021-06-21 05:41:08,065 p=3663 u=root n=ansible | TASK [Installing Mysql Service and dependencies] ******************************************************************************************************************
2021-06-21 05:44:15,363 p=3663 u=root n=ansible | failed: [db01] (item=mysql-server) => {"ansible_loop_var": "item", "changed": false, "item": "mysql-server", "msg": "Failed to update apt cache: unknown reason"}
2021-06-21 05:45:22,186 p=3663 u=root n=ansible | failed: [db01] (item=mysql-client) => {"ansible_loop_var": "item", "changed": false, "item": "mysql-client", "msg": "Failed to lock apt for exclusive operation: Failed to lock directory /var/lib/apt/lists/: E:Could not get lock /var/lib/apt/lists/lock. It is held by process 13181 (apt-get)"}
